"SiteID","Visit","Year","Detection","ObsID","SiteVisited","Region","Meereshoehe","Besonnung","Fische","Wasserspiegel","Wasserflaeche.mean","log.Area.scaled","Fluctuations","NewSite"
"P_001",1,1999,1,29,1,"Rheintal",308,"sonnig",0,"stark schwankend",1540,0.890272759152172,1,0
"P_002",1,1999,NA,134,0,"Rheintal",360,"wechselnd",0,"kaum schwankend",140,-0.406278431847511,0,0
"P_003",1,1999,NA,134,0,"Rheintal",320,"sonnig",0,"stark schwankend",45,-1.01990153769893,1,0
"P_004",1,1999,NA,134,0,"Rheintal",320,"sonnig",0,"stark schwankend",500.333333333333,0.282370185535001,1,0
"P_005",1,1999,NA,134,0,"Rheintal",390,"wechselnd",1,"stark schwankend",1775,0.967064055741605,1,0
"P_006",1,1999,NA,134,0,"Rheintal",350,"wechselnd",1,"kaum schwankend",6250,1.64770805305298,0,0
"P_007",1,1999,NA,134,0,"Rheintal",385,"wechselnd",1,"stark schwankend",466.666666666667,0.244704885286926,1,0
"P_008",1,1999,NA,134,0,"Rheintal",367,"wechselnd",0,"kaum schwankend",154,-0.354745966653772,0,0
"P_009",1,1999,NA,134,0,"Rheintal",410,"wechselnd",0,"stark schwankend",85,-0.676067190833934,1,0
"P_010",1,1999,NA,134,0,"Rheintal",430,"wechselnd",0,"kaum schwankend",40,-1.08357398598975,0,0
"P_011",1,1999,NA,134,0,"Rheintal",410,"wechselnd",0,"kaum schwankend",17.5,-1.53040064137866,0,0
"P_012",1,1999,NA,134,0,"Rheintal",390,"wechselnd",0,"kaum schwankend",67.5,-0.800699104168207,0,0
"P_013",1,1999,0,29,1,"Rheintal",425,"wechselnd",0,"stark schwankend",265,-0.0612709945138306,1,0
"P_014",1,1999,0,29,1,"Rheintal",300,"wechselnd",1,"stark schwankend",251.666666666667,-0.0891841622209237,1,0
"P_015",1,1999,0,29,1,"Rheintal",470,"wechselnd",1,"stark schwankend",500,0.282009833855328,1,0
"P_016",1,1999,NA,134,0,"Rheintal",400,"wechselnd",0,"kaum schwankend",180,-0.270396656994249,0,0
"P_017",1,1999,0,29,1,"Rheintal",430,"wechselnd",0,"stark schwankend",150,-0.368975285512288,1,0
"P_018",1,1999,NA,134,0,"Rheintal",400,"schattig",0,"stark schwankend",6,-2.10861654717698,1,0
"P_019",1,1999,NA,134,0,"Rheintal",410,"schattig",0,"stark schwankend",4.5,-2.26387174561918,1,0
"P_020",1,1999,0,29,1,"Rheintal",435,"schattig",0,"stark schwankend",200,-0.213429282328588,1,0
"P_021",1,1999,NA,134,0,"Rheintal",430,"wechselnd",1,"kaum schwankend",111.666666666667,-0.528538156770039,0,0
"P_022",1,1999,1,29,1,"Rheintal",460,"wechselnd",0,"kaum schwankend",375,0.126458423928328,0,0
"P_023",1,1999,NA,134,0,"Rheintal",420,"wechselnd",0,"kaum schwankend",300,0.0058041854081534,0,0
"P_024",1,1999,NA,134,0,"Rheintal",325,"sonnig",1,"kaum schwankend",990,0.65136757295252,0,0
"P_025",1,1999,NA,134,0,"Rheintal",300,"wechselnd",0,"stark schwankend",26.6666666666667,-1.30274889663017,1,0
"P_026",1,1999,NA,134,0,"Rheintal",300,"sonnig",0,"stark schwankend",17,-1.54606565598699,1,0
"P_027",1,1999,NA,134,0,"Rheintal",370,"wechselnd",0,"stark schwankend",138.333333333333,-0.412753714436089,1,0
"P_028",1,1999,NA,134,0,"Rheintal",300,"sonnig",0,"stark schwankend",0.5,-3.44244430908328,1,0
"P_029",1,1999,NA,134,0,"Rheintal",300,"sonnig",0,"stark schwankend",16.3333333333333,-1.56768430529795,1,0
"P_030",1,1999,0,26,1,"Rheintal",295,"sonnig",0,"stark schwankend",50,-0.962943172630398,1,0
"P_031",1,1999,0,26,1,"Rheintal",300,"schattig",0,"stark schwankend",15,-1.6137012984339,1,0
"P_032",1,1999,0,26,1,"Rheintal",290,"sonnig",0,"stark schwankend",1021.66666666667,0.668392258585904,1,0
"P_033",1,1999,NA,134,0,"Rheintal",300,"sonnig",1,"kaum schwankend",120,-0.48962411741531,0,0
"P_034",1,1999,0,26,1,"Rheintal",305,"wechselnd",0,"kaum schwankend",46.6666666666667,-1.00024117068773,0,0
